PassengerId,Name,Sex,Age,Pclass,Embarked
1,"Braund, Mr. Owen Harris",male,22,3,S
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,C
3,"Heikkinen, Miss. Laina",female,26,3,S
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,S
5,"Allen, Mr. William Henry",male,35,3,S
6,"Moran, Mr. James",male,33.60869082764939,3,Q
7,"McCarthy, Mr. Timothy J",male,54,1,S
8,"Palsson, Master. Gosta Leonard",male,2,3,S
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,3,S
10,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,2,C
11,"Sandstrom, Miss. Marguerite Rut",female,4,3,S
12,"Bonnell, Miss. Elizabeth",female,58,1,S
13,"Saundercock, Mr. William Henry",male,20,3,S
14,"Andersson, Mr. Anders Johan",male,39,3,S
15,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,3,S
16,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,2,S
17,"Rice, Master. Eugene",male,2,3,Q
18,"Williams, Mr. Charles Eugene",male,33.60869082764939,2,S
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,3,S
20,"Masselmani, Mrs. Fatima",female,33.60869082764939,3,C
21,"Fynney, Mr. Joseph J",male,35,2,S
22,"Beesley, Mr. Lawrence",male,34,2,S
23,"McGowan, Miss. Anna ""Annie""",female,15,3,Q
24,"Sloper, Mr. William Thompson",male,28,1,S
25,"Palsson, Miss. Torborg Danira",female,8,3,S
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,3,S
27,"Emir, Mr. Farred Chehab",male,33.60869082764939,3,C
28,"Fortune, Mr. Charles Alexander",male,19,1,S
29,"O'Dwyer, Miss. Ellen ""Nellie""",female,33.60869082764939,3,Q
30,"Todoroff, Mr. Lalio",male,33.60869082764939,3,S
31,"Uruchurtu, Don. Manuel E",male,40,1,C
