PassengerId,Name,Sex,Age,Pclass,Survived,rango_edad
1,"Braund, Mr. Owen Harris",male,22,3,0,Adulto_Joven
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,1,Adulto_Joven
3,"Heikkinen, Miss. Laina",female,26,3,1,Adulto_Joven
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,1,Adulto_Joven
5,"Allen, Mr. William Henry",male,35,3,0,Adulto_Joven
6,"Moran, Mr. James",male,33.60869082764939,3,0,Adulto_Joven
7,"McCarthy, Mr. Timothy J",male,54,1,0,Adulto
8,"Palsson, Master. Gosta Leonard",male,2,3,0,Infante
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,3,1,Adulto_Joven
10,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,2,1,Adolescente
11,"Sandstrom, Miss. Marguerite Rut",female,4,3,1,Infante
12,"Bonnell, Miss. Elizabeth",female,58,1,1,Adulto
13,"Saundercock, Mr. William Henry",male,20,3,0,Adulto_Joven
14,"Andersson, Mr. Anders Johan",male,39,3,0,Adulto_Joven
15,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,3,0,Adolescente
16,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,2,1,Adulto
17,"Rice, Master. Eugene",male,2,3,0,Infante
18,"Williams, Mr. Charles Eugene",male,33.60869082764939,2,1,Adulto_Joven
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,3,0,Adulto_Joven
20,"Masselmani, Mrs. Fatima",female,33.60869082764939,3,1,Adulto_Joven
21,"Fynney, Mr. Joseph J",male,35,2,0,Adulto_Joven
22,"Beesley, Mr. Lawrence",male,34,2,1,Adulto_Joven
23,"McGowan, Miss. Anna ""Annie""",female,15,3,1,Adolescente
24,"Sloper, Mr. William Thompson",male,28,1,1,Adulto_Joven
25,"Palsson, Miss. Torborg Danira",female,8,3,0,Infante
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,3,1,Adulto_Joven
27,"Emir, Mr. Farred Chehab",male,33.60869082764939,3,0,Adulto_Joven
28,"Fortune, Mr. Charles Alexander",male,19,1,0,Adolescente
29,"O'Dwyer, Miss. Ellen ""Nellie""",female,33.60869082764939,3,1,Adulto_Joven
30,"Todoroff, Mr. Lalio",male,33.60869082764939,3,0,Adulto_Joven
31,"Uruchurtu, Don. Manuel E",male,40,1,0,Adulto
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,33.60869082764939,1,1,Adulto_Joven
33,"Glynn, Miss. Mary Agatha",female,33.60869082764939,3,1,Adulto_Joven
34,"Wheadon, Mr. Edward H",male,66,2,0,Senior
35,"Meyer, Mr. Edgar Joseph",male,28,1,0,Adulto_Joven
36,"Holverson, Mr. Alexander Oskar",male,42,1,0,Adulto
37,"Mamee, Mr. Hanna",male,33.60869082764939,3,1,Adulto_Joven
38,"Cann, Mr. Ernest Charles",male,21,3,0,Adulto_Joven
39,"Vander Planke, Miss. Augusta Maria",female,18,3,0,Adolescente
40,"Nicola-Yarred, Miss. Jamila",female,14,3,1,Adolescente
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,3,0,Adulto
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,2,0,Adulto_Joven
43,"Kraeff, Mr. Theodor",male,33.60869082764939,3,0,Adulto_Joven
44,"Laroche, Miss. Simonne Marie Anne Andree",female,3,2,1,Infante
45,"Devaney, Miss. Margaret Delia",female,19,3,1,Adolescente
46,"Rogers, Mr. William John",male,33.60869082764939,3,0,Adulto_Joven
47,"Lennon, Mr. Denis",male,33.60869082764939,3,0,Adulto_Joven
48,"O'Driscoll, Miss. Bridget",female,33.60869082764939,3,1,Adulto_Joven
49,"Samaan, Mr. Youssef",male,33.60869082764939,3,0,Adulto_Joven
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,3,0,Adolescente
51,"Panula, Master. Juha Niilo",male,7,3,0,Infante
52,"Nosworthy, Mr. Richard Cater",male,21,3,0,Adulto_Joven
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,1,Adulto
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,2,1,Adulto_Joven
55,"Ostby, Mr. Engelhart Cornelius",male,65,1,0,Senior
56,"Woolner, Mr. Hugh",male,33.60869082764939,1,1,Adulto_Joven
57,"Rugg, Miss. Emily",female,21,2,1,Adulto_Joven
58,"Novel, Mr. Mansouer",male,28.5,3,0,Adulto_Joven
59,"West, Miss. Constance Mirium",female,5,2,1,Infante
60,"Goodwin, Master. William Frederick",male,11,3,0,Infante
61,"Sirayanian, Mr. Orsen",male,22,3,0,Adulto_Joven
62,"Icard, Miss. Amelie",female,38,1,1,Adulto_Joven
63,"Harris, Mr. Henry Birkhardt",male,45,1,0,Adulto
64,"Skoog, Master. Harald",male,4,3,0,Infante
65,"Stewart, Mr. Albert A",male,33.60869082764939,1,0,Adulto_Joven
66,"Moubarek, Master. Gerios",male,33.60869082764939,3,1,Adulto_Joven
67,"Nye, Mrs. (Elizabeth Ramell)",female,29,2,1,Adulto_Joven
68,"Crease, Mr. Ernest James",male,19,3,0,Adolescente
69,"Andersson, Miss. Erna Alexandra",female,17,3,1,Adolescente
70,"Kink, Mr. Vincenz",male,26,3,0,Adulto_Joven
71,"Jenkin, Mr. Stephen Curnow",male,32,2,0,Adulto_Joven
72,"Goodwin, Miss. Lillian Amy",female,16,3,0,Adolescente
73,"Hood, Mr. Ambrose Jr",male,21,2,0,Adulto_Joven
74,"Chronopoulos, Mr. Apostolos",male,26,3,0,Adulto_Joven
75,"Bing, Mr. Lee",male,32,3,1,Adulto_Joven
76,"Moen, Mr. Sigurd Hansen",male,25,3,0,Adulto_Joven
77,"Staneff, Mr. Ivan",male,33.60869082764939,3,0,Adulto_Joven
78,"Moutal, Mr. Rahamin Haim",male,33.60869082764939,3,0,Adulto_Joven
79,"Caldwell, Master. Alden Gates",male,0.83,2,1,Infante
80,"Dowdell, Miss. Elizabeth",female,30,3,1,Adulto_Joven
81,"Waelens, Mr. Achille",male,22,3,0,Adulto_Joven
82,"Sheerlinck, Mr. Jan Baptist",male,29,3,1,Adulto_Joven
83,"McDermott, Miss. Brigdet Delia",female,33.60869082764939,3,1,Adulto_Joven
84,"Carrau, Mr. Francisco M",male,28,1,0,Adulto_Joven
85,"Ilett, Miss. Bertha",female,17,2,1,Adolescente
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,1,Adulto_Joven
87,"Ford, Mr. William Neal",male,16,3,0,Adolescente
88,"Slocovski, Mr. Selman Francis",male,33.60869082764939,3,0,Adulto_Joven
89,"Fortune, Miss. Mabel Helen",female,23,1,1,Adulto_Joven
90,"Celotti, Mr. Francesco",male,24,3,0,Adulto_Joven
91,"Christmann, Mr. Emil",male,29,3,0,Adulto_Joven
92,"Andreasson, Mr. Paul Edvin",male,20,3,0,Adulto_Joven
93,"Chaffee, Mr. Herbert Fuller",male,46,1,0,Adulto
94,"Dean, Mr. Bertram Frank",male,26,3,0,Adulto_Joven
95,"Coxon, Mr. Daniel",male,59,3,0,Adulto
96,"Shorney, Mr. Charles Joseph",male,33.60869082764939,3,0,Adulto_Joven
97,"Goldschmidt, Mr. George B",male,71,1,0,Senior
98,"Greenfield, Mr. William Bertram",male,23,1,1,Adulto_Joven
99,"Doling, Mrs. John T (Ada Julia Bone)",female,34,2,1,Adulto_Joven
100,"Kantor, Mr. Sinai",male,34,2,0,Adulto_Joven
101,"Petranec, Miss. Matilda",female,28,3,0,Adulto_Joven
102,"Petroff, Mr. Pastcho (""Pentcho"")",male,33.60869082764939,3,0,Adulto_Joven
103,"White, Mr. Richard Frasar",male,21,1,0,Adulto_Joven
104,"Johansson, Mr. Gustaf Joel",male,33,3,0,Adulto_Joven
105,"Gustafsson, Mr. Anders Vilhelm",male,37,3,0,Adulto_Joven
106,"Mionoff, Mr. Stoytcho",male,28,3,0,Adulto_Joven
107,"Salkjelsvik, Miss. Anna Kristine",female,21,3,1,Adulto_Joven
108,"Moss, Mr. Albert Johan",male,33.60869082764939,3,1,Adulto_Joven
109,"Rekic, Mr. Tido",male,38,3,0,Adulto_Joven
110,"Moran, Miss. Bertha",female,33.60869082764939,3,1,Adulto_Joven
111,"Porter, Mr. Walter Chamberlain",male,47,1,0,Adulto
112,"Zabour, Miss. Hileni",female,14.5,3,0,Adolescente
113,"Barton, Mr. David John",male,22,3,0,Adulto_Joven
114,"Jussila, Miss. Katriina",female,20,3,0,Adulto_Joven
115,"Attalah, Miss. Malake",female,17,3,0,Adolescente
116,"Pekoniemi, Mr. Edvard",male,21,3,0,Adulto_Joven
117,"Connors, Mr. Patrick",male,70.5,3,0,Senior
118,"Turpin, Mr. William John Robert",male,29,2,0,Adulto_Joven
119,"Baxter, Mr. Quigg Edmond",male,24,1,0,Adulto_Joven
120,"Andersson, Miss. Ellis Anna Maria",female,2,3,0,Infante
121,"Hickman, Mr. Stanley George",male,21,2,0,Adulto_Joven
122,"Moore, Mr. Leonard Charles",male,33.60869082764939,3,0,Adulto_Joven
123,"Nasser, Mr. Nicholas",male,32.5,2,0,Adulto_Joven
124,"Webber, Miss. Susan",female,32.5,2,1,Adulto_Joven
125,"White, Mr. Percival Wayland",male,54,1,0,Adulto
126,"Nicola-Yarred, Master. Elias",male,12,3,1,Infante
127,"McMahon, Mr. Martin",male,33.60869082764939,3,0,Adulto_Joven
128,"Madsen, Mr. Fridtjof Arne",male,24,3,1,Adulto_Joven
129,"Peter, Miss. Anna",female,33.60869082764939,3,1,Adulto_Joven
130,"Ekstrom, Mr. Johan",male,45,3,0,Adulto
131,"Drazenoic, Mr. Jozef",male,33,3,0,Adulto_Joven
132,"Coelho, Mr. Domingos Fernandeo",male,20,3,0,Adulto_Joven
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,3,0,Adulto
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,2,1,Adulto_Joven
135,"Sobey, Mr. Samuel James Hayden",male,25,2,0,Adulto_Joven
136,"Richard, Mr. Emile",male,23,2,0,Adulto_Joven
137,"Newsom, Miss. Helen Monypeny",female,19,1,1,Adolescente
138,"Futrelle, Mr. Jacques Heath",male,37,1,0,Adulto_Joven
139,"Osen, Mr. Olaf Elon",male,16,3,0,Adolescente
140,"Giglio, Mr. Victor",male,24,1,0,Adulto_Joven
141,"Boulos, Mrs. Joseph (Sultana)",female,33.60869082764939,3,0,Adulto_Joven
142,"Nysten, Miss. Anna Sofia",female,22,3,1,Adulto_Joven
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,3,1,Adulto_Joven
144,"Burke, Mr. Jeremiah",male,19,3,0,Adolescente
145,"Andrew, Mr. Edgardo Samuel",male,18,2,0,Adolescente
146,"Nicholls, Mr. Joseph Charles",male,19,2,0,Adolescente
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,3,1,Adulto_Joven
148,"Ford, Miss. Robina Maggie ""Ruby""",female,9,3,0,Infante
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,2,0,Adulto_Joven
150,"Byles, Rev. Thomas Roussel Davids",male,42,2,0,Adulto
151,"Bateman, Rev. Robert James",male,51,2,0,Adulto
152,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,1,Adulto_Joven
153,"Meo, Mr. Alfonzo",male,55.5,3,0,Adulto
154,"van Billiard, Mr. Austin Blyler",male,40.5,3,0,Adulto
155,"Olsen, Mr. Ole Martin",male,33.60869082764939,3,0,Adulto_Joven
156,"Williams, Mr. Charles Duane",male,51,1,0,Adulto
157,"Gilnagh, Miss. Katherine ""Katie""",female,16,3,1,Adolescente
158,"Corn, Mr. Harry",male,30,3,0,Adulto_Joven
159,"Smiljanic, Mr. Mile",male,33.60869082764939,3,0,Adulto_Joven
160,"Sage, Master. Thomas Henry",male,33.60869082764939,3,0,Adulto_Joven
161,"Cribb, Mr. John Hatfield",male,44,3,0,Adulto
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,2,1,Adulto
163,"Bengtsson, Mr. John Viktor",male,26,3,0,Adulto_Joven
164,"Calic, Mr. Jovo",male,17,3,0,Adolescente
165,"Panula, Master. Eino Viljami",male,1,3,0,Infante
166,"Goldsmith, Master. Frank John William ""Frankie""",male,9,3,1,Infante
167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,33.60869082764939,1,1,Adulto_Joven
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,3,0,Adulto
169,"Baumann, Mr. John D",male,33.60869082764939,1,0,Adulto_Joven
170,"Ling, Mr. Lee",male,28,3,0,Adulto_Joven
171,"Van der hoef, Mr. Wyckoff",male,61,1,0,Senior
172,"Rice, Master. Arthur",male,4,3,0,Infante
173,"Johnson, Miss. Eleanor Ileen",female,1,3,1,Infante
174,"Sivola, Mr. Antti Wilhelm",male,21,3,0,Adulto_Joven
175,"Smith, Mr. James Clinch",male,56,1,0,Adulto
176,"Klasen, Mr. Klas Albin",male,18,3,0,Adolescente
177,"Lefebre, Master. Henry Forbes",male,33.60869082764939,3,0,Adulto_Joven
178,"Isham, Miss. Ann Elizabeth",female,50,1,0,Adulto
179,"Hale, Mr. Reginald",male,30,2,0,Adulto_Joven
180,"Leonard, Mr. Lionel",male,36,3,0,Adulto_Joven
181,"Sage, Miss. Constance Gladys",female,33.60869082764939,3,0,Adulto_Joven
182,"Pernot, Mr. Rene",male,33.60869082764939,2,0,Adulto_Joven
183,"Asplund, Master. Clarence Gustaf Hugo",male,9,3,0,Infante
