PassengerId,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Pclass,Embarked,Survived,Cabin
1,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,3,S,0,
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,1,C,1,C85
3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,3,S,1,
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,1,S,1,C123
5,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,3,S,0,
6,"Moran, Mr. James",male,33.60869082764939,0,0,330877,8.4583,3,Q,0,
7,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,1,S,0,E46
8,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,3,S,0,
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,3,S,1,
10,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,2,C,1,
11,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,3,S,1,G6
12,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,1,S,1,C103
13,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,3,S,0,
14,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,3,S,0,
15,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,3,S,0,
16,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,2,S,1,
17,"Rice, Master. Eugene",male,2,4,1,382652,29.125,3,Q,0,
18,"Williams, Mr. Charles Eugene",male,33.60869082764939,0,0,244373,13,2,S,1,
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,3,S,0,
20,"Masselmani, Mrs. Fatima",female,33.60869082764939,0,0,2649,7.225,3,C,1,
21,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,2,S,0,
22,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,2,S,1,D56
23,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,3,Q,1,
24,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,1,S,1,A6
25,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,3,S,0,
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,3,S,1,
27,"Emir, Mr. Farred Chehab",male,33.60869082764939,0,0,2631,7.225,3,C,0,
28,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,1,S,0,C23 C25 C27
29,"O'Dwyer, Miss. Ellen ""Nellie""",female,33.60869082764939,0,0,330959,7.8792,3,Q,1,
30,"Todoroff, Mr. Lalio",male,33.60869082764939,0,0,349216,7.8958,3,S,0,
31,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,1,C,0,
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,33.60869082764939,1,0,PC 17569,146.5208,1,C,1,B78
33,"Glynn, Miss. Mary Agatha",female,33.60869082764939,0,0,335677,7.75,3,Q,1,
34,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,2,S,0,
35,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,1,C,0,
36,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,1,S,0,
37,"Mamee, Mr. Hanna",male,33.60869082764939,0,0,2677,7.2292,3,C,1,
38,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,3,S,0,
39,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,3,S,0,
40,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,3,C,1,
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,3,S,0,
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,2,S,0,
43,"Kraeff, Mr. Theodor",male,33.60869082764939,0,0,349253,7.8958,3,C,0,
44,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,2,C,1,
45,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,3,Q,1,
46,"Rogers, Mr. William John",male,33.60869082764939,0,0,S.C./A.4. 23567,8.05,3,S,0,
47,"Lennon, Mr. Denis",male,33.60869082764939,1,0,370371,15.5,3,Q,0,
48,"O'Driscoll, Miss. Bridget",female,33.60869082764939,0,0,14311,7.75,3,Q,1,
49,"Samaan, Mr. Youssef",male,33.60869082764939,2,0,2662,21.6792,3,C,0,
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,3,S,0,
51,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,3,S,0,
52,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,3,S,0,
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,1,C,1,D33
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,2,S,1,
55,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,1,C,0,B30
56,"Woolner, Mr. Hugh",male,33.60869082764939,0,0,19947,35.5,1,S,1,C52
57,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,2,S,1,
58,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,3,C,0,
59,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,2,S,1,
60,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,3,S,0,
61,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,3,C,0,
62,"Icard, Miss. Amelie",female,38,0,0,113572,80,1,N,1,B28
63,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,1,S,0,C83
64,"Skoog, Master. Harald",male,4,3,2,347088,27.9,3,S,0,
65,"Stewart, Mr. Albert A",male,33.60869082764939,0,0,PC 17605,27.7208,1,C,0,
66,"Moubarek, Master. Gerios",male,33.60869082764939,1,1,2661,15.2458,3,C,1,
67,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,2,S,1,F33
68,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,3,S,0,
69,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,3,S,1,
70,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,3,S,0,
71,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,2,S,0,
72,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,3,S,0,
73,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,2,S,0,
74,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,3,C,0,
75,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,3,S,1,
76,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,3,S,0,F G73
77,"Staneff, Mr. Ivan",male,33.60869082764939,0,0,349208,7.8958,3,S,0,
